Mathematics, Language, Science, History, English, Physical_Education, Art,mean_sciences,mean_humanities,Total_mean
6.1,6.9,5.6,6.3,5.6,5.8,6.4,5.85,6.60,6.10
5.5,5.3,5.1,6.4,6.5,5.7,6.9,5.30,5.85,5.91
5.8,6.6,6.2,6.7,5.9,6,6.9,6.00,6.65,6.30
6.1,6.7,5.2,5.4,5.1,6,6.6,5.65,6.05,5.87
6.5,5.3,6.2,6.4,5.8,7.8,5.4,6.35,5.85,6.20
5.5,7,6,7.9,5.4,9,7.9,5.75,7.45,6.96
5.8,6.8,6.2,6.4,6.5,7.8,6.9,6.00,6.60,6.63
6.1,6.8,6.6,5.9,6.9,7.9,7.8,6.35,6.35,6.86
5.3,5.2,6.2,5.5,6.9,8.4,8.9,5.75,5.35,6.63
6.6,6.9,4.8,6,6.7,7.4,7.5,5.70,6.45,6.56
5.4,5.7,4.4,7.6,7.1,6.2,5.7,4.90,6.65,6.01
5.2,5.8,5.9,8,6.3,7.9,6.3,5.55,6.90,6.49
5.1,6.6,6.3,5.3,6.8,7.6,9.1,5.70,5.95,6.69
5,5.7,6.1,6.1,5.7,7.5,8.9,5.55,5.90,6.43
6.1,6.1,5.1,5.8,5.7,7.8,5,5.60,5.95,5.94
5.9,5.2,5,6.7,4.5,6.7,6.5,5.45,5.95,5.79
5.3,6.3,5.2,6.2,6.8,7.6,6,5.25,6.25,6.20
5.5,5,4.8,6.2,5.8,8.5,6.3,5.15,5.60,6.01
7.1,5.3,5.4,6.3,6.5,7.9,7.5,6.25,5.80,6.57
6.5,6.1,5.5,8,6.7,8.6,9.3,6.00,7.05,7.24
5.7,5.2,4.5,6.6,6.3,7.4,6.9,5.10,5.90,6.09
7,6.9,5.5,7.4,5.5,7,7,6.25,7.15,6.61
5.8,6.9,5.9,5.8,5.7,8.1,5.4,5.85,6.35,6.23
5.7,5.9,6.7,6.4,5,7.8,7,6.20,6.15,6.36
5.7,6.1,5.5,6.2,5.9,5.1,7,5.60,6.15,5.93
6,5.6,5.3,6.8,5.8,8.8,7.9,5.65,6.20,6.60
5.6,5.6,5.2,6.3,6.2,7.3,7.4,5.40,5.95,6.23
5.4,6.6,6.2,8,6.6,8.9,6.8,5.80,7.30,6.93
6.7,8,5.7,7,6.5,8,7,6.20,7.50,6.99
5.7,5.5,5.7,5.8,7.2,7,7.9,5.70,5.65,6.40
6,6.1,5.2,7.4,5.8,7,6.4,5.60,6.75,6.27
6.9,5.6,5.8,6.1,5.5,6.5,6.2,6.35,5.85,6.09
6,6.4,5.4,7.6,5.9,6.9,6.8,5.70,7.00,6.43
5.9,5.3,5.3,5.6,7.2,8.1,5.7,5.60,5.45,6.16
6.3,5.6,5.4,5.7,4.7,7.4,5.5,5.85,5.65,5.80
6.1,6.7,5.9,6,6.8,7,5.6,6.00,6.35,6.30
5.2,6.2,4.7,6.4,5.9,7.6,6,4.95,6.30,6.00
5.5,5.7,6.1,5.9,5.2,7,5.9,5.80,5.80,5.90
5.4,6.7,5.1,5.4,5.2,8.8,7,5.25,6.05,6.23
5,6.5,5,6.7,6,6.9,4.8,5.00,6.60,5.84
5.2,5.7,5.1,7.2,6.5,4.4,6.5,5.15,6.45,5.80
5.8,5.6,6,6,6.3,6,7.6,5.90,5.80,6.19
5.4,5.3,4.8,6.8,7.1,7.5,6.5,5.10,6.05,6.20
6,6.7,4.7,6.9,6.4,7.4,6.8,5.35,6.80,6.41
5.7,6.6,4.8,5.7,4.4,7.1,7.3,5.25,6.15,5.94
7.7,7.4,6.4,6.4,4.1,9.5,7.2,7.05,6.90,6.96
6.4,7.6,5,6.6,4.7,6.5,6.3,5.70,7.10,6.16
6.4,6.1,5.3,6.8,5.4,7,4.4,5.85,6.45,5.91
6,6.7,4.9,5.3,7.2,7.4,6.5,5.45,6.00,6.29
4.6,5.5,5.1,7.4,6.1,8,6,4.85,6.45,6.10
5.7,7.3,5.7,4.7,5.8,8.5,6,5.70,6.00,6.24
5.5,7.4,5.6,7.2,5.6,8,6.3,5.55,7.30,6.51
6.2,4.5,7.1,6.7,5.9,7.6,7.4,6.65,5.60,6.49
7.1,7.5,4.5,6.8,5.7,8.8,6.9,5.80,7.15,6.76
5.2,6.3,5.5,6.6,5.6,6.6,6.9,5.35,6.45,6.10
6.3,7,6.1,6.1,6.4,8.3,6.1,6.20,6.55,6.61
5.7,6.9,5.4,6.6,5.2,8.4,6.3,5.55,6.75,6.36
5.2,7.2,6.2,8,5.5,6.7,6.7,5.70,7.60,6.50
5.1,6.2,6.2,7.1,6.4,6.7,5.6,5.65,6.65,6.19
5.7,5.5,5.7,5.5,5,8.2,8.4,5.70,5.50,6.29
6.9,5.6,5.6,6.5,6.5,8.2,6.5,6.25,6.05,6.54
6,7.9,5.5,6.3,5.6,5.9,7,5.75,7.10,6.31
6.1,6.4,5.7,7.3,6,5.7,8,5.90,6.85,6.46
5.6,6.8,5.4,5.3,5.9,5.5,8.5,5.50,6.05,6.14
6.8,7.8,5.9,6.8,6.7,5.9,5.7,6.35,7.30,6.51
5.7,6.9,5.9,4.4,4.9,8.3,5.8,5.80,5.65,5.99
4.8,6.4,4.8,5.3,5.5,7.4,7.4,4.80,5.85,5.94
5,6.4,4.8,7.5,6.9,8.1,7.2,4.90,6.95,6.56
5.5,6.1,4.6,6.7,6.6,5.5,6.6,5.05,6.40,5.94
6.1,5.4,6.2,7.1,5.3,9.1,5.7,6.15,6.25,6.41
6.2,6.8,4.9,5.5,6.1,6.3,8.5,5.55,6.15,6.33
5.9,6,5.3,7,6.7,7.3,7.6,5.60,6.50,6.54
5.2,7,5.2,5.9,7.5,9.1,5.6,5.20,6.45,6.50
5.8,5.9,5.4,5.6,6.5,5.5,6.9,5.60,5.75,5.94
5.7,6.9,5.3,6.8,6.1,7.6,6.4,5.50,6.85,6.40
7.3,7,4.9,6.9,5.9,8.5,7.7,6.10,6.95,6.89
5.1,6,4.3,6.2,5,7.5,7.4,4.70,6.10,5.93
5.6,5.1,6.1,6.2,6.3,6,8.1,5.85,5.65,6.20
5.1,5.1,5.8,8.4,6.3,6.8,5.9,5.45,6.75,6.20
5.3,6.5,5.9,7.5,6.7,8.4,7,5.60,7.00,6.76
5.7,7.2,6,6.8,5.2,7.4,6,5.85,7.00,6.33
5.8,5.9,5.7,7.1,5.6,7.1,7.5,5.75,6.50,6.39
6.6,5.5,5,7.1,5.8,6.4,5.6,5.80,6.30,6.00
4.4,7,6,6.7,5.3,7.6,6.9,5.20,6.85,6.27
6.3,6.8,5.6,7.8,4.7,7,8,5.95,7.30,6.60
5.5,6,6.6,6,6.2,7,5.9,6.05,6.00,6.17
4.8,6.9,5,6.5,6.1,8.5,7.2,4.90,6.70,6.43
5.4,6.6,4.3,6.1,5.3,5.7,6.7,4.85,6.35,5.73
4.1,7.7,5.8,6.8,5.7,6.8,7.9,4.95,7.25,6.40
6.5,6,5.6,6.1,5.1,6.8,5.9,6.05,6.05,6.00
6.6,5.5,4.9,6.8,6.7,7.4,5.6,5.75,6.15,6.21
5.8,6.8,5.3,7.7,6.1,8.1,6.1,5.55,7.25,6.56
6,6.3,5.9,6.1,6.6,7.5,7.3,5.95,6.20,6.53
6.9,6.4,4.4,6.3,5.9,7.7,8.9,5.65,6.35,6.64
5.8,4.7,5.7,5.4,4.6,6.6,7.3,5.75,5.05,5.73
6.3,5.7,6.3,8.2,6.2,9,7.6,6.30,6.95,7.04
6.5,6.2,6.3,5.3,5.7,7.1,5.7,6.40,5.75,6.11
5.3,6.1,6.3,4.9,4.9,5.4,5.6,5.80,5.50,5.50
6.2,6.6,4.9,5.7,5.3,7.7,6.8,5.55,6.15,6.17
6,7.1,5.5,5.9,5.2,8.4,6.2,5.75,6.50,6.33
6.3,6.5,4.6,6.7,6.1,9,8.1,5.45,6.60,6.76
5.2,6.2,5.8,6.1,5.9,4.6,5.4,5.50,6.15,5.60
5.7,6.8,4.9,7.1,5.8,8.1,6,5.30,6.95,6.34
6.3,5.2,5.3,6.9,6.6,7.7,9,5.80,6.05,6.71
5.2,6.5,4.9,5.4,6.8,6.8,6.8,5.05,5.95,6.06
5.9,5.7,4.7,6.9,5.1,7.7,7.2,5.30,6.30,6.17
4.8,5.7,6.1,7.1,6.7,8.2,6.3,5.45,6.40,6.41
5.6,6.1,5.3,5.9,6.9,5.8,7.2,5.45,6.00,6.11
6.1,5.4,6.1,8.1,5.3,8.8,5.4,6.10,6.75,6.46
6.9,4.9,5.5,6,6.1,6.5,6.5,6.20,5.45,6.06
5.9,6.6,5.4,4.7,5.2,8.3,7.1,5.65,5.65,6.17
4.4,6.1,6.1,7.3,6.4,6.7,7.1,5.25,6.70,6.30
5.4,6,5.6,6.9,6.3,6.5,7,5.50,6.45,6.24
5.6,7.5,4.8,6.1,6.1,7.9,6.1,5.20,6.80,6.30
4.9,6.2,4.6,5.4,5.3,6.9,7.7,4.75,5.80,5.86
5.1,7.2,6.2,5.7,6.2,8.2,6.5,5.65,6.45,6.44
5.9,5.8,5.1,6.5,5.8,6.7,7.1,5.50,6.15,6.13
5.4,7.5,6.4,6.4,7.6,8.8,5.8,5.90,6.95,6.84
5.7,6.3,6.1,7,6.5,6.3,6.2,5.90,6.65,6.30
6,6.3,5.7,6.8,5.9,6.2,6.6,5.85,6.55,6.21
5.9,6,5.9,6.5,6.2,7.9,8.8,5.90,6.25,6.74
5.1,6,5.8,8,5.6,7.8,8.6,5.45,7.00,6.70
5.9,6.9,5,7.7,5.7,6,7.5,5.45,7.30,6.39
6,5.7,6.2,5.7,6,10,7.1,6.10,5.70,6.67
5,6.1,5.3,6,7.2,7.6,5.8,5.15,6.05,6.14
5.4,6.4,4.5,6.3,3.9,7.2,6.4,4.95,6.35,5.73
4.2,7,5.5,5.6,5.3,7.7,8.6,4.85,6.30,6.27
6.5,6.4,4.7,5.6,6.1,7.6,5.5,5.60,6.00,6.06
5.4,6.4,4.6,7.2,5.6,7.1,7.5,5.00,6.80,6.26
6.4,5.8,6.3,5.7,5.7,6.1,7.4,6.35,5.75,6.20
5.2,6.3,5,6.7,7.1,7.9,8.1,5.10,6.50,6.61
5.7,5.4,5.6,7,6.2,7.2,6.9,5.65,6.20,6.29
6.6,6.7,4.5,5.9,5.9,8.4,5.9,5.55,6.30,6.27
4.9,6.5,5.3,5.6,4.9,8.1,6.1,5.10,6.05,5.91
6,4.6,5.8,5.9,6.6,6.9,7.6,5.90,5.25,6.20
6.9,5.8,4.3,6.3,6.3,6.2,8.1,5.60,6.05,6.27
6.1,5.6,5.1,5.2,5.5,6.8,5.8,5.60,5.40,5.73
6.7,4.6,4.2,7.7,5.1,8.6,4.9,5.45,6.15,5.97
5.3,6.1,5.8,5.6,5.3,8.2,6.5,5.55,5.85,6.11
6.1,7,4.3,8.3,5.6,8.2,7.4,5.20,7.65,6.70
6,6.8,5.4,5.5,5.3,9.3,8.4,5.70,6.15,6.67
5.1,5.9,5.1,6.5,5.6,6.8,6.5,5.10,6.20,5.93
5.8,6.4,5.4,7.8,5.7,8.2,5.6,5.60,7.10,6.41
5.6,8,5.4,6.3,5.8,8.1,8.2,5.50,7.15,6.77
5.4,6.2,5.6,7.3,6.4,8,6.6,5.50,6.75,6.50
5.6,7.2,5.7,7.2,6.4,5.5,6.9,5.65,7.20,6.36
5.5,5.7,5.6,6.3,5.5,7.8,7,5.55,6.00,6.20
5,6.1,5,6.4,6.3,8.4,7.6,5.00,6.25,6.40
5.8,4.3,5.7,7.1,4.8,7.9,6.1,5.75,5.70,5.96
6.1,6.6,6.3,6.1,6.1,7.8,7.7,6.20,6.35,6.67
6.9,6,6,6,7.1,7.8,4.7,6.45,6.00,6.36
4.9,6.4,5.8,4.4,5.5,9.6,6.4,5.35,5.40,6.14
4.7,5.6,6.7,6,6.8,8.2,6.6,5.70,5.80,6.37
5.5,6.7,5.2,7.8,5.6,7.7,8,5.35,7.25,6.64
4.9,7.3,5.9,7.5,5.4,9.4,5.8,5.40,7.40,6.60
6,5.9,5.9,5.1,5.4,7.3,6.2,5.95,5.50,5.97
5.5,6.2,4.6,6.9,5.6,5.9,7.2,5.05,6.55,5.99
5.5,6.8,5,5.1,5.6,5.7,9.3,5.25,5.95,6.14
5.8,6.7,5.9,6.6,6.5,7.9,6.5,5.85,6.65,6.56
6,7.5,6.3,5.4,6,8,6.6,6.15,6.45,6.54
6.3,7,5.9,7.9,5.8,7.8,7,6.10,7.45,6.81
5.2,7.1,6.1,7.2,6.1,8,6.2,5.65,7.15,6.56
5.9,6.9,5,6.9,6,6.7,8.1,5.45,6.90,6.50
5.4,6.4,4.5,6.6,5.2,7.3,7.4,4.95,6.50,6.11
7.1,6.9,6,5.6,4.2,6.8,7.2,6.55,6.25,6.26
4.6,5.9,4.9,5.2,5,7.4,7.2,4.75,5.55,5.74
5.2,5.3,6.1,5.9,6,7.1,7.7,5.65,5.60,6.19
5.2,7,5.2,5.5,5.7,7.6,7.6,5.20,6.25,6.26
5.6,7.3,6.1,7,6.8,9.1,7.9,5.85,7.15,7.11
3.9,5.7,5.1,6.4,6.3,8.5,6.4,4.50,6.05,6.04
4.8,5.3,4.3,6.2,5.8,6,7,4.55,5.75,5.63
4.5,5.4,5.7,4.7,5.7,5.6,7.4,5.10,5.05,5.57
6.9,5.9,5.9,7,6.1,7,7.9,6.40,6.45,6.67
6.2,6,5,5.1,5.7,5.9,5.9,5.60,5.55,5.69
5.9,6.5,5,7.2,6.3,8.1,8,5.45,6.85,6.71
5.5,6.8,5.5,7.1,6.3,7.2,6.6,5.50,6.95,6.43
4.8,6.4,6.3,6.6,7.1,8.5,7.5,5.55,6.50,6.74
6.9,7.6,5.1,6.1,7.4,5.7,5.5,6.00,6.85,6.33
6.6,6.1,6,5.7,5.7,6.6,8.2,6.30,5.90,6.41
5,7.5,4.8,6.6,6.1,5.2,7,4.90,7.05,6.03
6.5,5.6,4.7,6.5,5.6,7.4,6.4,5.60,6.05,6.10
5.3,6.5,6,4.9,5.3,8.2,7.2,5.65,5.70,6.20
6.7,5.4,6.1,6.4,6.9,7.1,8,6.40,5.90,6.66
5.7,5.8,4.9,7.5,5.7,7.6,8,5.30,6.65,6.46
5.5,5.6,6.7,5.9,7.4,7.7,7.6,6.10,5.75,6.63
5.7,6.1,5.8,6.5,4.2,6.7,6.4,5.75,6.30,5.91
6.1,6.1,6.4,7,6.1,7.7,6.8,6.25,6.55,6.60
6.2,7.1,5,5.6,5.9,6.7,9.3,5.60,6.35,6.54
6.3,6.1,5.4,6.7,6.6,6.6,6.4,5.85,6.40,6.30
5.3,6,4.6,7.8,5.2,7.8,8.6,4.95,6.90,6.47
5.1,6.3,5.9,6.6,5.7,6.9,7.9,5.50,6.45,6.34
6.5,4.9,5,6.9,5.6,6.3,7.4,5.75,5.90,6.09
6.7,6.7,5.6,6.8,6.9,8.2,6.9,6.15,6.75,6.83
5.3,5.9,6.2,6,5.4,5.4,7.5,5.75,5.95,5.96
6.7,5.6,5.4,5.6,4.4,8,7.5,6.05,5.60,6.17
5.1,7.3,4.9,8.2,6,6.8,7.8,5.00,7.75,6.59
5.7,5.6,5.8,5.5,6.2,5.8,7.1,5.75,5.55,5.96
4.7,6.4,4.9,6.8,6.4,7.7,5,4.80,6.60,5.99
5.4,6.4,5.2,6,6.9,7.7,5.5,5.30,6.20,6.16
4.7,7.2,4.3,6.8,7.1,8.6,7.4,4.50,7.00,6.59
5.5,4.9,5.9,5.7,5.6,7.8,6.9,5.70,5.30,6.04
4.6,5.4,4.9,7,5.8,6.9,8,4.75,6.20,6.09
6.7,5.6,5.4,5.8,6,5.9,6.5,6.05,5.70,5.99
5.5,4.8,7.1,6.4,5.9,8,6.9,6.30,5.60,6.37
5.4,6.5,5.1,5.9,4.9,7,7.2,5.25,6.20,6.00
5,6.9,6.8,5.5,5.6,7.4,5.9,5.90,6.20,6.16
5.8,5.6,5.5,5.8,5.5,5.2,5.5,5.65,5.70,5.56
5.4,5.5,6,5.4,5.2,6.7,8.4,5.70,5.45,6.09
4.3,6.2,5.5,5.8,4.8,7.1,7.2,4.90,6.00,5.84
5.2,5.8,4.5,6.8,6.1,7,7.3,4.85,6.30,6.10
5.8,5.6,5.4,7.7,6,5.2,7.5,5.60,6.65,6.17
4.9,7.4,6,5.8,6.7,9.4,7.2,5.45,6.60,6.77
5.4,5.9,5.1,5.8,6.9,8.9,8,5.25,5.85,6.57
5.5,6.3,6.2,6.8,6.4,7.5,8.9,5.85,6.55,6.80
6.6,7.3,5.8,5.7,6.2,4.8,6.7,6.20,6.50,6.16
6.3,5.5,5.4,7.2,5.6,6.1,5.1,5.85,6.35,5.89
3.8,4.7,4.4,6.4,7.3,7.2,6.5,4.10,5.55,5.76
6.3,5.3,4.9,5.2,5.3,8.5,6.8,5.60,5.25,6.04
6.8,6.5,5.1,6.8,5.1,6.4,7.1,5.95,6.65,6.26
5,5.6,4.4,6.7,7.2,5.2,5.5,4.70,6.15,5.66
6.7,7.1,5,7.1,6.3,9,5.8,5.85,7.10,6.71
4.8,5.6,5.9,5.8,5.9,5.1,7.7,5.35,5.70,5.83
5.6,5,5.8,7.1,8,8.1,6.7,5.70,6.05,6.61
5.2,4.7,4.9,7.4,5.4,6.7,7.3,5.05,6.05,5.94
5.9,6,4.3,6.9,4.4,7.3,7,5.10,6.45,5.97
6,6.7,4.6,6.1,4.6,6.9,5,5.30,6.40,5.70
4.5,5,5.5,7.5,6.2,9.7,6.5,5.00,6.25,6.41
5.7,6.7,5.4,5.6,6.5,8.4,6.9,5.55,6.15,6.46
6.3,5.7,5.4,7.1,6.4,6.7,7.8,5.85,6.40,6.49
6.1,8,5.3,5.4,6.2,7.3,6.2,5.70,6.70,6.36
5.4,7.2,5.4,8,7.1,9.1,5.4,5.40,7.60,6.80
4.8,5.8,5.3,6.8,5.9,8,7,5.05,6.30,6.23
4.4,6.2,6,7.1,5.4,6.7,8,5.20,6.65,6.26
6.4,6.4,4.8,5.1,5.3,7.4,7.7,5.60,5.75,6.16
5.9,6,4.4,5.6,6.9,9.1,7,5.15,5.80,6.41
4.9,6.6,5.2,5.5,4.8,7.9,6.5,5.05,6.05,5.91
5.4,6,5.4,6.5,5.3,8.1,7.2,5.40,6.25,6.27
6.6,6.1,5.6,6.8,7,7.3,7.6,6.10,6.45,6.71
5.4,5.7,4.2,5.9,6.2,8.7,7.2,4.80,5.80,6.19
6.3,7,6.4,7.9,6.9,8.8,7.9,6.35,7.45,7.31
5,6.1,5.6,6.4,6.2,5.2,6.7,5.30,6.25,5.89
6.9,6.2,5.4,6.2,5.7,8.1,6.4,6.15,6.20,6.41
6,6.7,5.8,5.4,4.3,6.3,8.3,5.90,6.05,6.11
6.2,5.8,6.2,8.6,5.9,8.6,8.2,6.20,7.20,7.07
6.1,6.4,5.6,4.9,6.5,6.9,7.2,5.85,5.65,6.23
6,5.8,5,6.5,5.8,7.5,6.9,5.50,6.15,6.21
6.8,7,6.7,6.6,6.7,8.7,7,6.75,6.80,7.07
5,7.5,5.7,6.7,7.1,8.5,6.8,5.35,7.10,6.76
5.6,6.9,5.1,5.8,5.8,7.7,9.3,5.35,6.35,6.60
4.9,6.8,6.1,5.7,5.8,7.5,6.1,5.50,6.25,6.13
6,4.6,4.6,7.1,5.3,8.4,7.6,5.30,5.85,6.23
6.2,6.6,6.8,6.4,6.2,7.2,4.5,6.50,6.50,6.27
5.2,5.1,5.1,8.4,5.5,7,4.9,5.15,6.75,5.89
5.3,5.8,5,6.3,5.5,8.4,7.7,5.15,6.05,6.29
6,6.2,6.2,6.4,5.2,9,6.5,6.10,6.30,6.50
5.4,6.5,5.6,7.5,5.6,9.2,7,5.50,7.00,6.69
5.5,6.1,5.5,5.6,6.3,8,7.4,5.50,5.85,6.34
5.6,6.5,6.1,7.9,5.9,8.2,7.2,5.85,7.20,6.77
6,6.6,5.2,8,6.1,8.1,6.2,5.60,7.30,6.60
4.4,5.8,4.5,7.6,5.6,7,6.8,4.45,6.70,5.96
5.3,6.4,6.2,6.3,6.4,5.4,6.8,5.75,6.35,6.11
6.1,5.2,6.8,6.7,5.4,5.7,5.7,6.45,5.95,5.94
6,5,5.5,6.8,7.3,8.3,6.5,5.75,5.90,6.49
5.7,6.2,6.2,7.7,5.4,6.8,7.8,5.95,6.95,6.54
5.5,6,5.1,7,5.7,8.4,8.3,5.30,6.50,6.57
3.9,5.4,5.6,7,5.6,7.3,7.1,4.75,6.20,5.99
6.2,4.9,5.2,5.7,6,7.3,7,5.70,5.30,6.04
6,6,6,6,7.3,5.9,7.3,6.00,6.00,6.36
5.2,4.7,4.6,5.2,5.8,7.8,5.7,4.90,4.95,5.57
5.2,5.2,5.8,6,5.6,8.9,8.1,5.50,5.60,6.40
4.5,5.6,5.2,6.1,6.1,5.7,6,4.85,5.85,5.60
7,6.6,6.5,5.2,6.9,7.5,7.6,6.75,5.90,6.76
6.1,6.1,6.2,7,6,8.3,8.7,6.15,6.55,6.91
5.1,5.5,4.3,6.4,5.1,7.8,6.3,4.70,5.95,5.79
6.8,6.3,6.1,7,5.8,7.4,5.6,6.45,6.65,6.43
6.6,5.5,5.1,6.5,5.4,7.7,6.8,5.85,6.00,6.23
5.2,6.2,5.4,6.4,6.4,7.2,7.3,5.30,6.30,6.30
6.3,5.8,6.1,6.2,6.1,7.6,7.2,6.20,6.00,6.47
6.4,6.1,5.4,5.7,4.8,7.7,6.9,5.90,5.90,6.14
5,5.5,6.3,6.6,4.9,5.6,8.2,5.65,6.05,6.01
6.4,6.3,5.5,4,6.1,5.9,8.3,5.95,5.15,6.07
5.8,6.7,5.1,6.7,5.6,6.7,7.3,5.45,6.70,6.27
5.6,7,5,8.1,7.3,7.5,5.5,5.30,7.55,6.57
6.3,6.3,5.2,5.3,5,7.2,7.1,5.75,5.80,6.06
4.8,4.1,5.7,6.3,6.7,7,7,5.25,5.20,5.94
6.9,6.9,5.2,7,4.4,9.8,6.5,6.05,6.95,6.67
6,6.9,5,6.8,5.9,7.7,6.1,5.50,6.85,6.34
4.7,5.7,5.4,5.4,6.7,7,5.5,5.05,5.55,5.77
5.1,5.8,5.9,6.5,6.1,8,7.2,5.50,6.15,6.37
5.7,5.5,4.7,8,4.7,7.3,6.9,5.20,6.75,6.11
7.3,6.9,5.3,5.3,6.9,8.5,6.7,6.30,6.10,6.70
5.5,5.1,4.8,7.1,5,8.5,7.4,5.15,6.10,6.20
7,6.2,5.3,7.6,6.7,6.5,6.7,6.15,6.90,6.57
6.4,5.8,4.7,5.6,5.1,8.4,7.5,5.55,5.70,6.21
5.6,5.9,5.6,5.9,6.2,4.3,7.2,5.60,5.90,5.81
6.3,5.7,6,7,4.9,7.7,6.7,6.15,6.35,6.33
6,5.8,5,5.3,5.3,8.8,8.3,5.50,5.55,6.36
5.9,7.1,5.2,7.6,6.5,8.7,7.8,5.55,7.35,6.97
5.7,7.3,5.3,7.1,5,7.7,7.6,5.50,7.20,6.53
5,7,5.2,6.2,5.6,9,4.8,5.10,6.60,6.11
7.6,6.7,5.9,6.9,5.2,8.5,8.2,6.75,6.80,7.00
5.5,6.8,4.5,7.2,6.6,7.2,6.2,5.00,7.00,6.29
5.9,5.7,5.6,5.7,5.3,5.5,5.4,5.75,5.70,5.59
6.8,6.5,5.1,7.1,6.3,7.2,7.7,5.95,6.80,6.67
5.2,5.7,5.5,7.3,6.4,5.7,7.9,5.35,6.50,6.24
5.5,6.9,5.7,5.7,5.4,8.8,6.5,5.60,6.30,6.36
6.8,7,6,6.4,5,5.8,6.6,6.40,6.70,6.23
6.1,6,4.1,8,6.2,7.4,4.8,5.10,7.00,6.09
5.9,5.7,5.1,6.6,5,8.7,6.6,5.50,6.15,6.23
4.8,6.9,5.7,5.4,5.3,7.2,6.4,5.25,6.15,5.96
6.6,6.4,4.7,6.1,5.1,7.2,7.4,5.65,6.25,6.21
5.1,8.3,5.7,6,5.9,7.3,5.7,5.40,7.15,6.29
5.6,5.5,4.6,8.1,6.5,5.9,8,5.10,6.80,6.31
4.8,5.8,6.2,8.6,5.7,7.5,7.5,5.50,7.20,6.59
5.5,7.9,6.2,6.1,6.3,7.9,6.5,5.85,7.00,6.63
5.6,5.5,5.9,6,5.6,7,6.7,5.75,5.75,6.04
5.8,5.1,6.1,6.9,6,6.9,6.8,5.95,6.00,6.23
6.2,7,4.8,6.2,6.4,8.5,7.5,5.50,6.60,6.66
6.7,6.1,5.2,6.8,6.3,8.9,6.4,5.95,6.45,6.63
5.5,5.6,6.8,6.4,5.8,8.5,7.7,6.15,6.00,6.61
5.1,5.7,4.8,6.4,6,8.8,6.6,4.95,6.05,6.20
4.9,5.3,5.7,5.4,6.3,6.4,6,5.30,5.35,5.71
4.8,6.5,4.9,5.5,5.9,6.8,6.5,4.85,6.00,5.84
4.7,5.9,5.8,6.2,6.4,6.7,4.8,5.25,6.05,5.79
6.1,6.9,5.2,6.3,4.8,8.2,7.3,5.65,6.60,6.40
5.9,6.5,5.1,6.8,5.1,7.5,6.6,5.50,6.65,6.21
4.8,6.9,4.8,7,5.6,6.3,8.5,4.80,6.95,6.27
5,6.3,5.7,6.4,4.8,7.6,7.3,5.35,6.35,6.16
4.3,6.2,4.2,7.4,6.6,7.3,6.3,4.25,6.80,6.04
5.5,4.9,5,7.2,4.7,7.8,5.6,5.25,6.05,5.81
5.7,6.6,5.3,6.8,4.3,7.9,6.7,5.50,6.70,6.19
5.1,6.4,6.2,6.8,6.1,7.7,9,5.65,6.60,6.76
5,7.3,5.7,6.2,6.1,8.8,7.4,5.35,6.75,6.64
5.4,5.5,5,6.7,6.2,7.5,6.7,5.20,6.10,6.14
5.7,5.1,5.4,6.3,6.3,7.7,6.7,5.55,5.70,6.17
6.6,5.2,5.5,4.7,6.2,8.2,7.3,6.05,4.95,6.24
5.6,5.6,5.5,6.3,5.4,8.8,7.1,5.55,5.95,6.33
5.4,5.4,5.1,7.2,5.8,5.8,6,5.25,6.30,5.81
5.3,5.5,5.2,6.3,6.3,7.2,6.3,5.25,5.90,6.01
5,7.6,5.6,5.6,6.3,6.1,3.9,5.30,6.60,5.73
5.3,6.5,5.2,6.5,7,9,5.8,5.25,6.50,6.47
5,4.9,5.2,7.2,6,8,7.6,5.10,6.05,6.27
6.6,6.6,5.1,4.9,5.4,8.7,6.9,5.85,5.75,6.31
5.7,6.3,5,6.5,5.2,6.8,7.1,5.35,6.40,6.09
5.3,5.3,6.1,6.9,6.9,7.2,5.4,5.70,6.10,6.16
4.9,6.8,5.7,6,5.4,5.7,6.7,5.30,6.40,5.89
6.2,5.7,5.5,7.1,6.3,8.1,5.9,5.85,6.40,6.40
5.8,6.3,4.4,7.5,5.5,8.3,7.5,5.10,6.90,6.47
4.1,6.2,5.3,5.9,6.3,8.6,6.4,4.70,6.05,6.11
5.9,4.8,5.4,7.2,5.2,7.3,7,5.65,6.00,6.11
5.9,6.1,5.1,5.3,4.6,7.4,6.8,5.50,5.70,5.89
5.6,6.3,5,7.4,5.9,8.8,9.1,5.30,6.85,6.87
5.2,7,6.2,6.5,5.5,6.7,5.9,5.70,6.75,6.14
6.2,6.2,5,5.5,6.2,7.9,7.3,5.60,5.85,6.33
5.7,5.2,5.5,6.5,5.4,9.1,5.1,5.60,5.85,6.07
5.7,7,5.9,5.8,5.6,6.7,6.6,5.80,6.40,6.19
5.3,5,5.3,6.8,6.5,4.9,6.8,5.30,5.90,5.80
6.1,7,6.1,6.7,5.9,6.3,6.8,6.10,6.85,6.41
6,6.5,5.6,8.5,7,7.9,6,5.80,7.50,6.79
4.1,4.6,5.6,5.3,5.3,5.6,7.2,4.85,4.95,5.39
5.6,7.7,5.4,5.9,5.1,6.2,6.3,5.50,6.80,6.03
5.4,6.6,6,6.9,6.2,9.6,7,5.70,6.75,6.81
